,clean_data,sentiment
40,mmm much better day ... so far it's still quite early last day of #uds,pos
296,Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler My hands covered I suck at it,neg
1712,thanks dude Being a low level business man its hard to get normal credit cards .. also our place is not listed with any bank,pos
527,Working But it's Fridaaaayyyyy,neu
202,I played up until the latter parts of the voodoo village part co-op until I lost my usual partner,neu
538,bed bed bed do you never answer texts anymore I thought of you the other day and sent one but never heard back Sad day,pos
1906,we just missd each otha again I was at disney all day YESTERday,neu
422,I want another tatt,pos
454,Somebody please save the polar bears,pos
1323,bored nothing to do,neg
2509,Its beginning to get way too hard to please all of my friends at once,pos
2144,I will never forgive you for burying the erotica You're snuffing out our 1,neg
918,http://twitpic.com/664b7 miss my bestfriend :'( now she left school,neg
1238,Ugh cant sleep on this bus still have like 5 hours,neg
2740,so cold,neu
2029,hmm I'm disappointed I made 2 servings and I am only able to enjoy one because my stomach is now full wishing I had company to help,pos
2074,NOOOO I'll miss you too much I went stag to my prom and all the high school and middle school dances if that helps,pos
1032,my 1 We still havn't done lunch together like we said we would .. I miss you my friend,pos
766,So Cal Dachshund Rescue found a home for my foster pup Max I'm soooooo sad to see him leave,pos
1273,cant talk very well just remembering about something once said to me ... not a good thing fucking bully nasty pieces of work arrrrgrrrrrr,neg
678,I kinda wish I went with you now .. I can't fall asleep,pos
2465,just realized that Chris Lake was spinning in stockholm yesterday and I missed it,neg
1489,Bucky my ferret officially has insulinoma Now on daily prednisone Had interview with p-doc today have to go back monday for testing,neu
1604,okay thank you i can't find it,pos
353,english class working on interactive orals,neu
1211,Week-end is over and now it's time to get back to work,neu
982,ME oh wait wrong state,neg
1093,not really having a good night ... missing my little girl ...,neg
2192,Can't seem to sleep tonight ... Its 3:38 am I need to get up in less than 4 hours ...,neu
396,my stupid tooooth hurts,neg
169,1 in the sun hmmm hell no it's cold,neg
76,Neither are ELP,neu
2747,exactly like that ... in glasgow now ... it's a bgt busier,pos
2413,screw the fact you can't post LONG updates on twitter,neg
2992,but better hurry so you wouldn't be labeled as copycats,pos
2601,My mock ACET scores have shown me that I am doomed to fail not because of ignorance but because of stupidity,neg
289,oh no hugs,pos
2183,seriously getting hurt ... 4 days before nationals .. what a joke,neg
685,Took a 4 hour nap after work today and won't be able to sleep all night This is a bummer,neg
1362,The Taxi Q at Pelangi was super loooong .. and now I'm getting headaches because of the hot-cold transition,pos
1843,... A kidney stone Really Ugh http://tinyurl.com/qsw9vq,neg
2505,i can't,neu
1283,finished listening to Last Days of Krypton's audio book 1d it ... so sad though ...,neg
2532,oh my god my twitter feed has been taken over by geeky stuff so 1ny I wish i understood,pos
1237,missed all the awesome weather because she was in a movie,pos
2168,Just woke up can't go back to sleep Had a txt from the bff sayin if you're up call me sounds important but that was 4 hours ago,pos
1370,rented bikes unknown trail with random bumps big hills kids one beat up little girl Not a good day on the B family vacation,neg
1974,... being lonely all the time,neg
2094,Guess what happened to my butt yesterday Yes Annas finger came for a visit ... and I said nothing about it,pos
2875,A friend uses Logic and I must admit I did like it ... but I don't have a Mac,pos
2439,Heathrow Connect is ï ¿ ½ 7.40 i thought it was a bargain express is 15 but then it terminated at Hayes Harlington and i had to take a bus,pos
966,is tired and cold and runny,neg
2369,had my lip pierced for about 30 minutes and then it died,neg
1160,just got Up and going to get ready to go to meadowhall,pos
2360,im sorry i dont wanna cuz of how u act u just turn right around and ignore me and all that,neg
2909,im really tired .. not much time to sleep,neg
2604,Up earlier because of a stupid orthadontist appointment,neg
686,I know I enjoy watching you two on twitter About as entertaining as the comic That I miss,pos
1735,I wanna go to DBSK oppa's Mirotic Concert in Thailand I REALLY WANNA GO SO MUCHHHHH ... burst into tears,neg
491,The pics I just uploaded are the baby pics of my cats Missy is now an adult and a pretty little kitty but Batty is in kitten heaven now,pos
1643,Ugh talk to me someone I'm really bored,neg
1290,I 0 working nights cos I'm not really able to enjoy this gorgeous weather as I will be asleep,pos
349,bad times,neg
1430,YOU'RE FAKING IT Hahaha ... I kid,neu
2333,Going to be a strange weekend Probably srtarting off with working til midnight tonight,neg
1217,I can't find my ipod,neu
1347,Well thats me for the day watching Panthers tonight beat the Saints fingers crossed cause there are no QLD teams playing this round,pos
44,middle school and elem High schools will remain open for those who need credits to graduate Cali is broken,neg
638,It feels not good,neg
2114,So many farewell parties sad to see people leaving ..,neu
2961,thats not really fair I mean you just up and leave like that and you dont even give us a party So when you coming back or ...,pos
493,today we say goodbye to the second good friend in a week from dmp but at least the sun is shinning and I'm definately NOT working this pm,pos
1651,shady's making me Trying to code something if you know php HELP,pos
1303,very very bad headache that is getting worse by the minute not better,neg
113,shift time bbye biochem waaaaahhhhhh http://plurk.com/p/wxizo,neu
2453,Did not win Kelly Clarkson Tickets Sorry Cecilia Really wish I could give that to you You so much deserve it,neg
488,has work tom,neu
2768,ahhhhh I am falling asleep here there is no way I'll be able to survive Liverpool Although I can't wait to have my Nan's food,neg
2113,so sorry to hear that I lost two hard drives this year I know the feeling,neg
1056,facebook quizzes are one cure of 0 haha my teeth mouth hurts,neu
502,Taking Horse Pills hoping I can get some sleep tonight,pos
398,Ready To Go School,pos
2796,movie out today but i cant go see it,neu
2779,getting stuck from visiting sites by rain,neg
1269,Wookei why did you never accept my psn friend request,pos
14,Got the news,neu
1343,I wish my grandmother had taken me to the US with her,pos
2738,aiaahh .. poor u tell ur mom already,neg
1648,Sleeping on the streets of nyc for a celebrity ... nothing new Wish i had a huge blanket though,neu
2526,Wide awake Wishing I wasn't Damn nightshift routines Got turned down for the job in Nashville oh well ...,pos
913,I came with a q quot,neu
326,"I just had to 0 my trash on the mac that was one of THE MOST DIFFICULT things I have ever done in my life 8,000 pictures are GONE",neg
716,Gosh Today's weather is HOrriTerrible Extreme hotness I'm losing a lot of water weight by doing nothing http://tweet.sg,neg
906,Misses his twitastic fwiends,neg
1490,aww-that's my last one Roo-Oop,neu
2400,ummm ... last night when I DM'd you you said it was a good question,pos
890,I am dying to hangout on a Friday afternoon ...,neu
2395,sneezing is never a good sign,neg
1893,i 0 it when a website says the ticket prices are on another website and their not,neu
988,Forgot my power cable at home today,neu
727,My BFF rocking Hotel California now No songs done stay the same What's next Hmmm .. Careless whisper,pos
1756,I'm a genius put rug in washing machine left folding door half open machine moved now door won't close or open shaking head,neg
457,It has come to my attention from a 16yo friend that I've recently gained a TON of weight He didn't know it was me,pos
1773,On way to exam very very nervous bah,neg
427,for the gays i only made 200 tonight,neu
2125,Come hang out wif meeee,neu
1110,dam it keeps rainin on me,neu
346,looks like i'll never go to the zoo,pos
1380,The fam back on the Big Island said the vog has been so bad that they can't see the ocean Sad,neg
141,just answered you never learned how to write in French just basic stuff,neu
1504,Didn't drink enough for a hangover just tired and over worked,neg
1332,Downside though is that you're breaking the thread,neg
728,just one of those days where loneliness creeps up on you slaps you in the face,neg
723,aww me too annoying :|,neg
655,ohh ic ic haha iyaa my summer is filled with ONE Course that lasts for the whole summer,pos
1714,so had a freakin lond thursday ready to hit the hay and 1 1 I can't freakin sleep :/ Boo,pos
507,back to work .. with no distractions ..,neg
882,Oh poor beths friend i'm not naughty i'm just unperfect,neu
817,Dell FX100 Pc-over-IP audio device Teradici is giving me a hard time in #Linux #Ubuntu Jaunty Kernel isnt loading the snd-hda-intel drv,pos
1334,Wow slept in with no dolidh here to wake me up,pos
1276,Watching Jay Leno's 2nd last Tonight show I haven't gone a day without Leno in like four yearss,neg
175,i don't think so I WANT DETAILS,pos
121,Waraku is tasteless and expensive Portion is so little re waraku,neu
2846,I don't want to work tomorrow I don't feel good Haven't felt good in 4 days =/ My body needs rest but my mind won't slow down,neg
2459,why am i up ... i have to wake up at 7,neu
2598,Can't sleep ... restless mind Agh,pos
661,Unfortunately not,neg
566,#liesgirlstell a guy calls her phone to see if the number is real ohh my phone isn't working try tomorrow,pos
558,july ... too long,neu
206,im doing that shit right now ... im on vacation and you got me workin,neg
2464,is super tired,pos
1774,not happy with my 5:45 wake up call this morning ... she's going to be grumpy later,neg
1696,Is dreading going to work BUT ... its friiiiiday whoop,neg
2000,Epic ocd moment I deleted my sims file that i spent hours building just because i set his favorite food wrong,neu
841,sososo bummed like really bummed i 0 this rain ruin my date ...,neg
991,I thought I was going to see a pic of your clean car,pos
2092,sore throat Planning the TET outing to Marwell though ... good times,pos
900,class color day tomorrow last time I have a lot to remember for tomorrow but I bet I'll forget,neg
2933,Aaaaaaaa I 0 fucking winshit,neu
135,Now I am depressed after watching so you think you can dance,neg
64,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,neg
2756,Arghhh ... my korean dvd can't see .. I need to laugh ..,pos
701,Math quiz If Meow but Allergies then Meow Allergies,neu
2754,Still not asleep Ahhh Wtf,pos
2275,I seriously 0 my life it's currently 2:42 am I have 3 finals tomorrow and have not slept a single second,neg
1857,Last Chemistry lesson for this school year On a brighter note my birthday will be sandwiched between two days in chemistry lab,pos
2010,feels sorry every time I'm printing out I use like 200 new papers,pos
476,is not sleeping because he has paperwork to do,neu
2430,You guys dont get too drunk without me,pos
1281,omg mcdonalds combo and wendys sundae puke material,neg
1326,This train is so squeaky its givin me a sore head its bad enough i have to go to work,neg
746,Feels like im going to cough up a lung,pos
271,i was so close to the tacos ... one spot too late,neu
2763,At least my wish came true its not hot anymore ... just rainy,pos
369,is feeling bad just got bad news about my Mum,neg
2673,Thanks for the tip Unfortunately a major crash in my https site just as ExtPlorer,neg
1127,ahhhhhhh so excited for july 21 (: ecxept stupid australia won't get it til like decembbberrrrrrrr but stilll ahhh congratss,pos
1232,where did you go babe,neu
1621,Not a fan of the layout change of hyperlinks I don't like the indentation and well I'm clicking and no link shows,neg
1464,Come to bed,neu
768,off to work now finish about 9pm booooo,neu
1519,drinking some really nice coffee got to go to the dentist at 9am this morning,pos
688,Not yet ... sorry,pos
109,I wish she knew what she puts me through .. She stole my heart never gave it back .. and occasionally she likes to be like look what I have,pos
2218,I just saw the Hamlet update too excellent news ... Never so good as live though,pos
2954,Why didn't I book today off as well could not be bothered with work the weather is too good to be in here,pos
1271,As do I Leopold says hello,neu
794,Sooo ... I'm kinda o sick n tired of the bs that guys dish out,neg
2486,with 14mph winds,neu
1231,DECEMBER ... thats like a year away ...,pos
2189,Another boring meeting to attend,neg
895,Wondering how come mcdonalds take so long to deliver my food,neu
119,Allergies suck ducks nuts lt,neg
3008,My attempts at writing tonight seem to be failing,neg
2004,It's so hard to settle on a name,neg
2203,Hello Bella why r you going to delete your account ..,neu
1505,my cheeeks hurt so bad what happened,neg
2624,I also shall be missing Lauren when she goes for a week,neg
1427,Theres a spider above my bed calming my fears by listening to greeeeen day lt,neu
2170,playing bejewled on facebook .. damn it i want a higherscore,neg
2690,I will have spent my allowance at cybernet expo in SF by then send me a dm with rates tho mayb cash flo bttr 4 me then,neu
2478,I still have a very depressed feline fuzzball ... it's another trip to vet tmrw to see what can be done ... worried doesn't even cover it,neg
745,yeah work today never mind only one day then sun sun sun ...,pos
1196,should updatd her twitter,neu
215,is done painting all the bedroom furniture I still have to do the table but it will wait until after the move Uggh moving in the heat,neu
2409,work suckd .. another closing nite with 30 dollars pockeded .. i need a new job,neu
1462,shattered PWG botched his hybrid dolphin shirt order and sent him xl,neg
392,ur supposed to be in BK tho,neu
27,Damm servers still down i need to hit 80 before all the koxpers pass me,neu
983,"It's fucking cold here north now It was like 77 DF yesterday where I was here it's 37,4",pos
1695,is getting a cold cough oink cough,neu
478,midnight cry .. wish the person I wanted wanted me right now,neg
719,ï ¿ ½ cant im not my sister house no ï ¿ ½ net tonite,neg
2412,Poor Buddy being teased by mini puggy I think what you need is a #PUGHUG,neg
1864,Ria got a a G1 phone and im jealous,neu
1977,God the weather in London is ammmmazing Yet I'm on a train half the day,pos
692,FALL ASLEEP ON ME AGAIN But I know how it feels now LOL Drag Me To Hell tonight Quite excited,neg
1197,http://twitpic.com/664oz this is what happens when i have no models,neg
963,we can get a temporary tattoo I would be totally sad if he died,neg
2317,Watching Jimmy F delete all his social network profiles No more Jimmy cyber time,neg
619,Photo martwo OMG i 1 you i accadentally deleted this photo yay hes SO beautiful http://tumblr.com/xvd1wankt,pos
683,ummm sooo yeh ... its really hard to concentrate rite now wen i have this weird #lupus feeling goin thro my body,neg
2198,On the train now I forgot by charger that means no whoshere for me today till I get home haha but I'd still tweet u guys xxx,pos
711,i'm not at chaseton's either please don't die my heart will be really sad,pos
2378,BIG NEWS But I don't know if I can share it,pos
1952,I'm going to bed ... it's weird the 1st time in a long time .. He didn't call and say goodnight ... Ima lil curious,pos
924,haha its under 18 so ive got no one to go with curse none of my friends liking TAI lol,neu
1432,There's a spider in my room Save me ...,pos
2625,We are at alexander Just had a 3 course dinner and i am wearing someone elses red wine,neu
563,finished sewing for the night uploading pictures from slidebar and beach i cant believe i am having difficulties with twitter,neg
1912,Heading to the hospital to sort out my back not looking forward to this,neu
2643,Three-quarters through I believe Will not finish tonight I blame errands and a certain loud at a bookstore,pos
2349,Ghhh Went an hour earlier to bed thinking ill get an area hr of sleep woke up an hr earlier Today is gonna be a looooong one again,neg
188,9 days I'm about ready to visit Torchwood and see if they've heard anything,pos
1385,why does IE have to be always a big problem,neg
2312,Five o'clock can't come any faster,neu
1887,t'internet on blackberry fooked so no checking of the tweets and whether phill has taken up my request,neg
905,says I've got number 10 getting low http://plurk.com/p/wxpdr,neg
762,ze Franz has not friended me i think they think i'm a creepy stalker or sommat Hmph,neg
2336,Friends Come over and give me a massage I can't sleep,pos
1262,Home early yeh work to do over the weekend not happy so much 4 a big 1,neg
2821,And most of us are going to be stuck in an office some without windows,neg
1118,i wanna be 1 drunk,neg
1129,And I feel your pain,neg
1015,i didnt get the msg :'( but i bought princess,neg
2151,mom is ok so far just missing jaron,neg
597,video is not available to us foreigners,neu
314,I 0 rob zombie movies amp,neg
958,does anyone know how to convert 6 est to Aus time ROFL xD fucking radio disney,pos
37,I need skott right now,neu
425,being in your room makes me sad,neg
712,that was an interesting show to say the least recap tomorrow first i must sleep work in am,pos
2718,writing report cards soooo tired but what an amazing day check it out on fb soon,pos
1491,actually I'd prefer a rum or gin but don't have have any as I've preferred them too much previously,neu
722,4 more followers .. follow me and I'll 1 you pouts Please,pos
2508,I don't think any of what i just said it true i just had a rant about mcfly i cant belive i did that i feel ashamed,neg
847,As it is now my body has already developed a mind of it's own but that mind refuses to co-operate with set schedules,neu
299,I 0 when my bf beats da dogs But I guess that the only way to teach these pitts,neu
443,what a bad day,neg
1114,i miss seeing fireflies ...,neg
2886,starts tomorrow and I start to study again,neu
596,time for tv in bed.Then spending all day catching up on studying i 0 online summer classes,neu
1397,rah rah youtube isn't working again oh great,pos
1709,my internet income project has got a BIG problem today,neg
2049,yis i ryke it,neu
667,I 1d johnny carson now I'm going to 0 seeing jay leno go,neu
1147,wow i'm really reallly ill,pos
2936,i have to go to the doctor ... i don't want to ... cause there i can wait sooo long ...,neg
546,hoping i didn't fail english that would just be sad,pos
2288,cool dude yeah i was hoping your rate was still 2.75 lol yeah not sure when ill mar and par for my birthday dinner,pos
1678,I want it to be Wednesday already so I can hurry up and go to New Zealand so I'm busy and not sitting here bored and stressing,neg
2234,NOW IM SAD BUT IM NOT GIVING IN FIRST .. I DIDNT DO NOTHING,neg
666,back at school again almost weekend oh wait i gotta work from eight to four tonight,neu
2411,what a bummer that tomorrow is friday again,neg
1254,The birds are out oh man ... That's NOT cool I didn't sleep yet for the night,neg
1070,Only one more day of Jay Leno que sad,neg
1396,Not excited of blowing out another candle today ... as when I was a kid We gotta grow up soon or later ...,neg
191,Too bad the Red Devils .. disappointing to say the least,neg
2919,All alone in this old house again Thanks for the net which keeps me alive and kicking Whoever invented the net i wanna kiss your hair,pos
2266,im cold i still cant find my hoodie,neu
1203,I still miss him ... And i dont think he's coming back,neg
518,big now Vanessa is going to be 3 in September its going by so fast its hard cuz Im workin so much I miss out on alot,neg
1590,iï ¿ ½ m ill .. bueeee ..,neg
2736,bwarg can't sleep tired of drawing,pos
912,what a beautiful day shame I've got to spend it in an office,pos
229,It's 1:15 AM and I hear a helicopter flying over my house That's kind of weird In other news my headache is back BOOOOO,neg
351,Have to go to the dreaded DMV tomorrow,neg
899,Sooo ... I'm kind of sick n tired of the bs that guys dish out,neg
2500,Can't freakin sleep and i have a horrible stomach ache,neg
1411,jessie has gone away 4 the weekend I miss her already,neg
1639,Scary guy on colbert ...,neg
564,thank you (: cant wait ummm btw ima crash still sick,neg
1580,Today feels like friday Too bad its not,neg
2567,sorry 19 female atl very lonely,neg
2308,Can't sleep ... amp,neu
806,farrrrr pdhpe assignment due next week and have english homework,neu
405,I'm back top molar extracted swollen face all numb But no more toothache or sinus pain,neg
1038,OMG YAYA we put you 5 please not the end of the year,pos
57,the recession her hotel are restructuring how the accounts are done adds a bit more pressure in the short term but we'll cope,neg
2252,visit si fr joemar dito bataan frm camiguin amp,neu
731,I think im being ignored ... by my best friend jake ... a i 0 being ignored b we all know how things go with him,pos
812,... i'm sorry about you are still sick u know most of them AND i know that u will guess the pelzer present ;-),neg
2674,fo shizzle . . . i'm bored and wanna go do something wish i went to pisay today oh wellz wonder who were there,pos
238,i was watching Harpers Island lol ... there was no vodka involved,pos
1949,is laying in bed wishing i could meet Kellan Lutz ... haha im a nerd ... dream on,pos
2891,I'm awake and can't sleep bc I'm feeling sick yuck,neg
1618,at work and tired just want to go to bed,neg
1555,blue skies where it's still grey and hazy out of my window,pos
402,I'm just starting to feel really panicky and anxious that something bad has happened cos it seems like it's been ages,neg
1083,up early again loads to do but the suns out hurrah,pos
2268,i don't even know what sporting social enterprise means ...,neu
836,Oh noes hey what's my tatoo say,neu
826,fml my work uniform is on the washing line,neu
670,I think I do it too much ...,neu
1784,u may try Prism http://prism.mozilla.com/,neu
452,GOSSIP GIRL WHEN ARE YOU COMING BACK chaceeeeeee ..,neg
2027,gawd People still remember the preggers comment 0 you,neu
2758,has to do two 50 page assignments this weekend there goes any chance of relaxation,pos
2861,nah im pooped from moving 2day im just laying down relaxing lol,pos
2709,i need to go out of office again .. i am melting ..,neu
1533,i'm so bored i can barely even tweet i have nothing to talk about #boredboots,neg
487,I am not a pussy damnit sending you an e-mail right now btw,pos
2075,FUCKSAKE i shouldn't smoke so much stuff,neu
1964,http://twitpic.com/665to Less than 24 hours till the show Oh and Lee broke his guitar at practice http://twitpic.com/660vv,neg
438,Pug just woke me from an incredible sleep,neu
748,I don't think it was either But I can't remember it,neu
244,Trudy's off Burnet ... the one up north that no one goes to,neg
609,Just found out I can't drink at this bar Booo missing e1 at palomino's No cheers sad face,neg
2231,Approaching the weekend quite quickly and so much more work left to do,neu
2216,I am lost Please help me find a good home,pos
1386,THEN Y R U LEAVN STAY,neu
1458,getting ready for school .. reading what's going on on set in Montepulciano and practically crying cause i'm not there,neg
2088,So damn tired Another long day trw,neg
1387,i'm sorry lol i have never had like actual time to spend there unfortunately everything's always been INSANE when i go,neg
1463,All Pret-a-m 0 amp,neu
330,there's a manual process ... but it's taking 4ever on my outlook database ... pffff crappy msft product,neg
1287,no sleeping for me im at work it will be summer break soon Tell them to get there butts out of bed lol,pos
1928,Getting ready for work and the sun is shining plus it's the w e Bgt tonight ... what am I gonna do after it's finished,pos
1101,i wish i was at s burning trees and trying on dresses ...,pos
426,Nearly fell asleep but was jolted out of bed by a massive panic attack and now I'm not sure if I can sleep at all,neg
1737,yeah I was like oh oh oh yeah that's it but then she said no lol bummer,pos
2866,omg why are the marshmellows in lucky charms so damn tiny now i feel cheated,neg
1158,My face an my arms Tragic Seriously,neg
852,Huge headache ... goodnight,pos
1041,gonna get off to try and catch some Z's no more high school after tomorrow which really sucks i wish i didn .. http://tinyurl.com/lk9ag8,neg
517,the time you go to bed i have to get up to go to work,neu
778,ooh maggi goreng yums i cant eat sore throat cmin,pos
2100,yeah it's gonna be rubbish,pos
2874,my plans might have just gone out the window too bit gutted,neu
2698,It's called a RipStick When I had a job I sold a lot of those ...,neu
1052,bed with stomach ache,neg
581,yeah its still totally in the high 60s here soooo notlooking forward to aug and sept up here,pos
459,went to the cd store to search for the cd But,neu
1099,I was just thinking the same thing I 1 our morning chats We totally need 2 live 2gether full time Lol,pos
303,Not one sale done today at work Explored balconies in the big theater w coworkers A 1 day but void of chili fries and tips,neu
132,sigh I'm going to bed ... I just don't feel right anymore ...,neu
2442,it just upsets me becasue like 6 years we have 1d them .. and then this happens imm really uset now x,neu
1349,Walmart opening its first store in Amritsar tomorrow of all places ... the horror .. hoping its limited to wholesale,neg
526,wut do i do now,neu
1611,Season 1 of Lie To Me was serious Damn now here comes the wait,neg
2894,phaket what did anneliese want to do,pos
144,i'm too awake now ill have a nap this afternoon,neg
1794,Hitting the docks soon,neu
1783,naisee is it bad that i can see lens flares all arond me while listening to it XD cant really catch what they're saying tho,pos
2999,bah bk on reception comps aint working ... BUT the sun has got his hat on hip-hip-horay x,neu
204,is a bad friend,neg
41,lt,neu
2865,Today is my last official day of Uni No more balancing uni work with music Til october atleast,neg
981,Maatt Havent spoken to you in ages dudeee Dont forget bout ur Aussie fan,pos
2342,3 hours of sleep and a mild hangover carelessness and the loss of a brand new ipod pouch,neg
2037,I'm pretty sure Isis has a tapeworm So she's allowed to snuggle with me all she wants tonight,pos
989,Dogs eyes seem bad Just forked out on new washing machine so why not a vets bill to top it off eh,neg
2929,always tired always cold and always have a headache cant wait for vacashun .. and the frickin g1 update .. i want onscreen keyboard dammit,neu
2276,I'm sorry ... I'll make sure I do that next time,pos
4,We want to trade with someone who has Houston tickets but no one will,neg
2370,why not everything workout as you planned,neu
2608,Poor you If I was with you right now,neg
2343,I'm sure it's not what you think Is this really you i saw you couple of months back in NAIA was shy to approach 4 a pic,pos
1284,Gotta a lot of work knocked out on the project but there's one feature that just refuses to work right Can't release next version until,neu
2207,That sucks I'm going to be doing summer school Need to catch up on several units,neg
2849,Bah day is not ending as nicely as it began,neg
2984,lol what where is it,pos
1002,Feeling so rough today just want a cuddle and some sleep,pos
1086,really realy want a netbook mrr Techno-lust sucks,neg
390,i feel like I'm on house arrest,neu
1359,cheer up lizzi there will b another foh hero concert but still i suppose we can b upset xoxoxo,neu
1313,omg i realy can't sleep ughh,neu
2540,nooooooooo i just got into my pyjamas,neu
251,I looove guitars and playing them I think they sound magnificent If only i was better ... If only,pos
1884,there was like no1 there n tha DJ comp was hella wack ... no gud DJs but got in free so its all gud,pos
357,I don't know how ima work out tomorrow wit my body dis sore ugh,neg
2746,is not paying ï ¿ ½ 8 per hr for Internet access so may be limited to Twitter via txt,neg
1157,Def wants to cuddle it out maybe play but has no one to do it with the bc is far away,neg
943,I can't wait till it's Sunday a new episode of Supernatural but then there are only 6 episodes left now,neu
2649,heading to bed somewhat reluctantly as there is Look Around You on at 1:30 Why must the DVDs be Region 2 only,neu
2917,Miss you too tomorrow is friday ... the day we usually just lounged around trying to figure out what to do,neg
528,At the Grove for Drag Me to Hell I hope that it doesn't suck,neg
232,poll was trying to get it to work in a powerpoint to no avail,neg
610,Cannot sleep 2 hours of tossing and turning,neu
1452,what am l doing ... nothing much atm,neu
883,Josh just called me a big bucket of ugly wish me luck for my audition tweets,pos
1098,Ahh man up and getting ready for work I wanna sleep,pos
2785,Last night I had 1/2 a bottle of wine in my house and 2 cocktails Came home sober but still gonna be sick,neg
653,Morning John yes I do however I have a diary clash and sadly can't attend,neu
781,should be sleeping lost my voice a couple day ago,neg
1460,I won my 5th grade spelling bee Went down trailing flames on 1st word at county spelling bee http://post.ly/geb,pos
1791,If it is any consolation I got my BMI tested hahaha it says I am obesed well so much for being unhappy for about 10 minutes,pos
676,I didn't get a callback for the play I cried ... oh well I guess it's back to being a techie ..,pos
1235,its raining now my hair will gett all gay,neu
1700,what is 1 baby don't hurt me don't hurt me no more I WANT TO WATCH NIGHT AT THE RUXBURY RIGHT NOW,pos
1453,oist the 1st tym di pa ko 18 the 2nd tym may sakit na siya ... don't blame me,pos
861,another build failed something is not right in the big scheme of things,neg
758,i 1 it to .. but i knw there gna cut stuff out on tv,neg
2158,has had AWFUL hiccups today and now can't fall asleep because of them,neg
1790,me too,neu
2085,hey chocolate chips is good i want a snack too but i'm out of snacks,pos
898,Will miss nostalgia ... everyone please kick tushar,pos
2924,i want Van Basten to b the milan manager,pos
1431,shit i hope theyr all wrong we need him,neg
1602,Pretty_Mess you missed all the free shots,pos
2524,aww sick and i 0 soup too,neg
2938,in a meeting discussion colour of bikeshed,neu
1055,no my school will start on June 1 two days to go i still don't want l,neg
1267,have to stay away from home and since this part of india dnt hav gud wireless internet im fucked,neg
2035,ew tongue kiss,pos
1549,gotta 1 how im waking home at midnite dangggg pray for mr im so jumpy,neg
636,don't think i can take a needle watched a horribly gory short film on drugs a few months ago i'm scarred for life,neg
874,that is so sad,neg
784,big day 2day the xt launch was amazing so much free stuff thanx 2 the edge and telecom found the phone i want ... cnt afford it yet tho,pos
522,My nose is runny my head is pounding and teeth hurt like a bitch MAN I feel awful =(,neg
283,hahaha well its try its so ugly,pos
1373,Not excited of blowing out another candle today ... as when I was a kid,neg
2714,although these are a BIT tighter smaaaaller than my last pair they were baggy as hell now I get front wedgies,neg
2977,Not happy got a big choice to make,neg
927,Girls are confusing,neg
910,FUCK wasting deodorant ... i aint goin no where ... i aint havin company let me 1k it to ya,neg
2143,I'm concerned for that family,neu
1364,Sadly it doesn't I was so hopeful after American Doll Posse too ... it's just so blah and vacant of dynamic,pos
2233,down with a nasty cold in cagayan de oro,neg
1636,I am soo happy But frustrated at the same time :] S Ohh noo Britney is recording her new video for Radar Sooo ExxCiiTeed,pos
1174,I cant watch anythgin till tonight,neu
2903,Is now crying Omg I am fed up with this pain,neg
2989,can't believe I'm peeling from one and a half days of sunshine,pos
2043,MARRRRRRRRRRY ME <3 have 1 partying tonight have a drink for me if only i was 18 i wud come there just to see you,pos
145,i cant do anything,neu
2013,TMZ HARVEY LEVIN OR TYPE ... TMZ IN ... FIND PEOPLE,neu
2457,All of you can have 1 tweeting all day while im cleaning hair LOL,pos
1270,Can't get the sound to work while on DVD I was going to watch Mary Poppins,neu
1246,is up too early,neu
1633,Holy shit it's super sunny Friday and Whitsun my tube is deeeesearted Wish I was in the park,pos
162,is still missing her husband I really want him home,neg
2641,caught tweets on it and got home in time for the last 5 mins of the ITV 2 show #bgt Out tonight too so will miss it again,neg
1139,Awake no migrane yey but tummy is hurting evil IBS,neg
1654,0s untalented bitches being mean to my talented friends,pos
1780,Ugh our two week push to produce a six pack has produced nothing but pain,pos
2776,Leaving in 25 mins to go to Latin revision class,neu
2321,Just been bitten by SmoothStreaming it doesn't seem to work for my client's linux users ... fan-fricking-tastic,neu
359,Yeah plus it's just a little too far to walk to Pinocchio's for sushi,pos
1087,Babes it was sooo much 1 Thank you so much for making that happen Had 1 with the ladies too Time went to fast,pos
891,Eh .. it's cold,neu
486,didnt say goodnight to you,neu
2638,is wondering where all her friends went ...,pos
2829,uff hard to get going today up half the night with 6 year old son,neg
2809,Is too much of a bro,neu
1991,asks can someone pass me some load :| Kahit 2 pesos lang http://plurk.com/p/wxzyr,neg
1976,O and i have to wear a damn jacket today cos i didnt notice a mark on my shirt ...,neg
379,dude i just saw your SF pics looks like your mini excursion was pretty kick ass didn't see any sun while i was there tho,pos
2052,awwww thanks for follwin me thou lol,pos
2489,work sucked .. another 8 hour shift with only 30 dollars to show for .. i need a new job ...,neg
1503,quot,neu
1675,I just really want to sleep butmy eyes won't let me,pos
757,this time i really need to shut it .. i'm going to sleep my head aches badly and i really can't take it ..,neg
39,Aw you would not unfollow me would you Then I would cry,neg
1051,Why am I still upppp LOL Work in less than 5 hours,pos
1140,Just finished watching quot,neu
2449,Morning tweeple I'm a bit sneezy today,neu
2087,Why does #googledocs do folders instead of labels like #gmail I kind of like labels,pos
